article,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
BAGUETTE,265.0,301.0,319.0,320.0,310.0,334.0,411.0,495.0,442.0,373.0,338.0,369.0,433.0,394.0,455.0,503.0,438.0,416.0,583.0,369.0,577.0,562.0,490.0,485.0,458.0,467.0,556.0,958.0,797.0,808.0,845.0,909.0,807.0,749.0,496.0,484.0,455.0,354.0,330.0,223.0,169.0,227.0,264.0,221.0,231.0,163.0,160.0,152.0,105.0,157.0,200.0,245.0,81.0
BANETTE,266.0,257.0,258.0,260.0,273.0,308.0,373.0,461.0,453.0,371.0,365.0,364.0,396.0,370.0,470.0,571.0,477.0,440.0,510.0,367.0,720.0,488.0,445.0,480.0,426.0,507.0,656.0,1068.0,941.0,960.0,1029.0,1103.0,950.0,731.0,527.0,474.0,419.0,400.0,299.0,212.0,143.0,206.0,321.0,276.0,199.0,138.0,135.0,116.0,87.0,135.0,216.0,240.0,75.0
BOULE 400G,64.0,48.0,47.0,57.0,61.0,83.0,97.0,133.0,113.0,100.0,67.0,74.0,81.0,60.0,113.0,107.0,94.0,109.0,118.0,68.0,138.0,110.0,106.0,97.0,104.0,95.0,154.0,240.0,170.0,187.0,184.0,228.0,160.0,149.0,106.0,89.0,100.0,88.0,65.0,49.0,50.0,41.0,66.0,45.0,41.0,21.0,22.0,28.0,16.0,24.0,92.0,43.0,22.0
BRIOCHE,18.0,9.0,13.0,19.0,12.0,19.0,23.0,38.0,28.0,17.0,19.0,16.0,20.0,20.0,40.0,47.0,31.0,29.0,50.0,33.0,56.0,31.0,41.0,23.0,28.0,38.0,51.0,86.0,90.0,88.0,114.0,112.0,92.0,59.0,21.0,30.0,29.0,21.0,21.0,8.0,12.0,13.0,21.0,18.0,12.0,10.0,9.0,8.0,6.0,7.0,18.0,23.0,5.0
CAMPAGNE,37.0,44.0,47.0,57.0,44.0,64.0,66.0,115.0,110.0,61.0,58.0,69.0,68.0,65.0,113.0,106.0,97.0,95.0,96.0,67.0,120.0,88.0,80.0,89.0,87.0,104.0,123.0,184.0,173.0,163.0,188.0,201.0,214.0,146.0,99.0,99.0,84.0,89.0,53.0,38.0,29.0,35.0,62.0,42.0,58.0,16.0,17.0,27.0,9.0,27.0,63.0,51.0,19.0
CEREAL BAGUETTE,83.0,84.0,78.0,92.0,79.0,89.0,132.0,171.0,162.0,90.0,84.0,106.0,133.0,170.0,206.0,249.0,181.0,179.0,190.0,96.0,181.0,170.0,155.0,184.0,194.0,138.0,212.0,320.0,309.0,279.0,293.0,307.0,258.0,233.0,175.0,130.0,160.0,135.0,102.0,38.0,44.0,53.0,106.0,104.0,61.0,32.0,45.0,41.0,30.0,48.0,107.0,94.0,35.0
COMPLET,47.0,42.0,46.0,47.0,36.0,49.0,62.0,94.0,89.0,59.0,53.0,71.0,79.0,73.0,88.0,93.0,94.0,88.0,102.0,56.0,87.0,82.0,81.0,81.0,88.0,90.0,100.0,118.0,116.0,116.0,117.0,127.0,128.0,112.0,95.0,73.0,65.0,53.0,42.0,36.0,38.0,35.0,43.0,35.0,31.0,19.0,19.0,23.0,13.0,25.0,33.0,30.0,16.0
CROISSANT,296.0,332.0,296.0,354.0,339.0,360.0,440.0,619.0,462.0,452.0,410.0,480.0,452.0,446.0,623.0,704.0,582.0,530.0,758.0,497.0,969.0,657.0,670.0,603.0,644.0,552.0,755.0,1483.0,1312.0,1173.0,1340.0,1813.0,1444.0,962.0,686.0,672.0,518.0,483.0,359.0,239.0,259.0,253.0,327.0,273.0,228.0,208.0,152.0,168.0,153.0,217.0,291.0,234.0,125.0
DIVERS VIENNOISERIE,28.0,20.0,25.0,31.0,38.0,48.0,52.0,85.0,23.0,16.0,15.0,11.0,17.0,11.0,34.0,21.0,24.0,24.0,36.0,17.0,22.0,12.0,2.0,2.0,3.0,18.0,18.0,25.0,13.0,9.0,17.0,8.0,6.0,8.0,8.0,9.0,7.0,3.0,6.0,1.0,2.0,0.0,3.0,8.0,2.0,1.0,1.0,5.0,5.0,4.0,7.0,14.0,7.0
ECLAIR,20.0,24.0,35.0,45.0,44.0,72.0,62.0,120.0,94.0,80.0,83.0,61.0,75.0,86.0,89.0,124.0,77.0,91.0,131.0,66.0,91.0,88.0,65.0,66.0,82.0,86.0,123.0,108.0,121.0,122.0,145.0,100.0,118.0,98.0,72.0,99.0,54.0,48.0,67.0,40.0,27.0,27.0,66.0,72.0,32.0,17.0,16.0,21.0,18.0,19.0,27.0,40.0,0.0
FINANCIER X5,11.0,5.0,15.0,15.0,15.0,23.0,21.0,24.0,27.0,15.0,30.0,26.0,28.0,18.0,29.0,40.0,25.0,30.0,39.0,23.0,51.0,22.0,30.0,29.0,29.0,32.0,40.0,35.0,37.0,33.0,57.0,61.0,58.0,40.0,32.0,24.0,26.0,13.0,6.0,12.0,4.0,8.0,23.0,19.0,11.0,7.0,4.0,11.0,2.0,11.0,21.0,15.0,1.0
