article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std
12 MACARON,0.0,0.0,0.0,0.0,0.0,0.0,14.0,47.0,9.0,0.0,0.0,0.0,6.3565398910988415,12.79180920903074
ARMORICAIN,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.29136829982777496,0.8114388748695253
ARTICLE 295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09712276660925832,0.27047962495650846
BAGUETTE,1358.0,1556.0,1657.0,1922.0,2179.0,2075.0,3337.0,3546.0,1861.0,983.0,824.0,755.0,1767.017924743606,855.9423363957595
BAGUETTE APERO,5.0,8.0,8.0,7.0,3.0,6.0,2.0,3.0,6.0,2.0,7.0,5.0,4.948673542148208,2.188511502094724
BAGUETTE GRAINE,76.0,77.0,65.0,101.0,230.0,95.0,478.0,490.0,55.0,46.0,50.0,99.0,155.09433715748213,148.10666977267115
BANETTE,1206.0,1411.0,1667.0,1987.0,2283.0,1940.0,3866.0,4100.0,1845.0,952.0,778.0,697.0,1834.0620556299439,1034.0637781666362
BANETTINE,215.0,242.0,277.0,305.0,296.0,298.0,384.0,413.0,283.0,130.0,127.0,122.0,245.79168565782714,98.37070414471637
BOISSON 33CL,61.0,92.0,152.0,164.0,176.0,226.0,332.0,321.0,180.0,59.0,69.0,40.0,151.62441101847259,92.47703183936439
BOTTEREAU,0.0,373.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.442913703288504,100.51626121170264
BOULE 200G,157.0,214.0,230.0,233.0,277.0,337.0,505.0,534.0,308.0,128.0,92.0,65.0,248.46672652595996,139.6925542297377
BOULE 400G,253.0,379.0,376.0,393.0,488.0,432.0,792.0,769.0,395.0,227.0,139.0,181.0,387.38050996731687,197.27485142924277
BOULE POLKA,31.0,51.0,46.0,37.0,43.0,49.0,84.0,96.0,45.0,21.0,14.0,14.0,42.8058330815161,23.709131478897827
BRIOCHE,67.0,94.0,81.0,145.0,182.0,135.0,329.0,389.0,109.0,63.0,50.0,58.0,139.19772153073276,101.29639596618372
BRIOCHE DE NOEL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.7862753322013876,4.317836817615121
BRIOCHETTE,0.0,10.0,3.0,27.0,15.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,7.411721301522836,10.222643600435813
BROWNIES,0.0,3.0,16.0,10.0,2.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,3.865829104035317,5.178932223700476
BUCHE 4PERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0683504327018416,2.9752758745215937
BUCHE 6PERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.7769821328740666,2.1638369996520677
BUCHE 8PERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.19424553321851665,0.5409592499130169
CAFE OU EAU,137.0,124.0,163.0,188.0,204.0,200.0,244.0,250.0,147.0,104.0,100.0,83.0,154.23601133478869,58.83633586799475
CAKE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09712276660925832,0.2704796249565085
CAMPAGNE,217.0,291.0,316.0,395.0,428.0,358.0,701.0,794.0,382.0,175.0,141.0,158.0,351.071580417058,193.49931796683092
CARAMEL NOIX,0.0,0.0,0.0,0.0,0.0,0.0,23.0,56.0,21.0,0.0,0.0,0.0,8.917688349849055,16.015493671491242
CEREAL BAGUETTE,395.0,471.0,469.0,851.0,730.0,721.0,1188.0,1165.0,622.0,269.0,254.0,292.0,596.8748809200935,309.2884279348391
CHAUSSON AUX POMMES,81.0,136.0,138.0,155.0,202.0,199.0,267.0,338.0,168.0,108.0,75.0,69.0,155.34222908492023,77.70298262182128
CHOCOLAT,3.0,5.0,3.0,12.0,5.0,2.0,12.0,14.0,13.0,5.0,3.0,5.0,6.653615091594967,4.201743361816004
CHOU CHANTILLY,10.0,38.0,38.0,39.0,48.0,28.0,22.0,0.0,5.0,18.0,16.0,9.0,22.03108197594299,14.417128021222762
COMPLET,207.0,241.0,301.0,375.0,371.0,358.0,489.0,527.0,278.0,166.0,110.0,112.0,282.830652277852,132.41362009574854
COOKIE,249.0,251.0,247.0,325.0,337.0,327.0,565.0,777.0,265.0,180.0,104.0,152.0,305.15953905348493,175.14556477020517
COUPE,1312.0,1655.0,1694.0,2002.0,2302.0,2066.0,3877.0,3962.0,1950.0,966.0,734.0,985.0,1889.785155451876,988.3507488522114
CROISSANT,1489.0,1756.0,1891.0,2443.0,3083.0,2675.0,4972.0,5921.0,2352.0,1217.0,894.0,961.0,2401.2806968096015,1457.705352619907
CROISSANT AMANDES,119.0,137.0,190.0,219.0,256.0,246.0,333.0,375.0,214.0,87.0,87.0,82.0,188.1067858112769,93.49237679598838
CRUMBLE,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8020728532696361,1.4342138738210737
CRUMBLECARAMEL OU PISTAE,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.29136829982777496,0.8114388748695253
DELICETROPICAL,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,2.0,0.0,0.0,0.0,5.582059815783902,11.740523796634239
DEMI BAGUETTE,89.0,94.0,111.0,82.0,90.0,108.0,144.0,184.0,141.0,48.0,34.0,20.0,91.83833910358275,45.54254440341003
DEMI PAIN,10.0,18.0,19.0,21.0,19.0,25.0,18.0,16.0,10.0,1.0,4.0,2.0,13.158217652523428,7.501869934947368
DIVERS BOISSONS,0.0,0.0,0.0,1.0,5.0,15.0,20.0,23.0,15.0,7.0,0.0,0.0,7.251545612356871,8.033440468419993
DIVERS BOULANGERIE,10.0,18.0,23.0,31.0,18.0,27.0,35.0,17.0,20.0,4.0,1.0,115.0,26.709339735761894,27.23937955436296
DIVERS CONFISERIE,27.0,23.0,30.0,102.0,38.0,40.0,93.0,80.0,27.0,19.0,11.0,13.0,41.08039614086268,29.190947980787474
DIVERS PATISSERIE,68.0,33.0,30.0,90.0,40.0,52.0,56.0,52.0,17.0,24.0,31.0,43.0,42.873263866874346,19.947211244116293
DIVERS SANDWICHS,35.0,34.0,48.0,27.0,29.0,17.0,25.0,0.0,2.0,2.0,11.0,3.0,19.117517791199997,14.673649783290736
DIVERS VIENNOISERIE,117.0,220.0,67.0,97.0,111.0,25.0,72.0,44.0,28.0,6.0,14.0,31.0,68.52261203273473,55.790532290820586
DOUCEUR D HIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09712276660925832,0.27047962495650846
ECLAIR,143.0,302.0,316.0,409.0,429.0,305.0,519.0,506.0,287.0,192.0,142.0,104.0,292.39556840190966,137.37432279436803
ECLAIR FRAISE PISTACHE,1.0,1.0,1.0,1.0,2.0,7.0,4.0,0.0,4.0,1.0,0.0,0.0,1.8476970906634964,1.955347606351921
ENTREMETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.6906651311518166,10.278225748347321
FICELLE,168.0,198.0,189.0,269.0,331.0,352.0,562.0,685.0,318.0,126.0,98.0,109.0,275.9627443015832,170.36883135454482
FINANCIER,1.0,1.0,1.0,3.0,3.0,0.0,2.0,5.0,1.0,1.0,2.0,0.0,1.6457882291813728,1.3227458354260198
FINANCIER X5,52.0,83.0,106.0,121.0,153.0,118.0,167.0,232.0,81.0,52.0,42.0,56.0,101.63085241602126,54.150853323529724
FLAN,54.0,77.0,87.0,76.0,95.0,128.0,153.0,151.0,114.0,58.0,45.0,39.0,86.03204575421742,38.78467073548126
FLAN ABRICOT,39.0,60.0,69.0,51.0,76.0,83.0,109.0,107.0,88.0,43.0,38.0,28.0,63.070838945189315,27.20889178282712
FONDANT CHOCOLAT,21.0,24.0,40.0,55.0,41.0,39.0,53.0,45.0,0.0,0.0,0.0,0.0,26.101320901155983,20.152796515432904
FORMULE PATE,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18138176163690226,0.3622412984109525
FORMULE PLAT PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0039940196784933,2.0809842345785543
FORMULE SANDWICH,270.0,307.0,531.0,524.0,575.0,713.0,621.0,620.0,456.0,251.0,187.0,126.0,414.2356412168869,190.76900838790297
FRAISIER,0.0,0.0,14.0,146.0,156.0,88.0,97.0,88.0,0.0,2.0,0.0,2.0,50.084861255107235,56.520723483585854
FRAMBOISIER,0.0,0.0,8.0,17.0,23.0,2.0,4.0,33.0,9.0,0.0,0.0,11.0,9.00553754739998,9.767865866331924
GACHE,14.0,20.0,18.0,17.0,28.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.69352086739436,9.570897967189353
GAL FRANGIPANE 4P,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.315859748631016,52.44734935111562
GAL FRANGIPANE 6P,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.185510479014866,31.19670637240593
GAL POIRE CHOCO 4P,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2896643362996416,5.917255660505459
GAL POIRE CHOCO 6P,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.456841499138875,4.0571943743476275
GAL POMME 4P,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.469640800544123,24.753221289692156
GAL POMME 6P,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.9182486285227345,15.331889276014754
GALETTE 8 PERS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19424553321851665,0.540959249913017
GD FAR BRETON,6.0,6.0,5.0,26.0,27.0,10.0,19.0,33.0,8.0,0.0,18.0,13.0,13.938121335741814,9.566964854221904
GD KOUIGN AMANN,21.0,44.0,40.0,71.0,125.0,70.0,227.0,308.0,50.0,27.0,19.0,7.0,84.423911576566,85.37514645200233
GD NANTAIS,0.0,0.0,0.0,2.0,4.0,0.0,15.0,47.0,9.0,7.0,16.0,9.0,9.340596638010316,12.225104426311551
GD PLATEAU SALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.19424553321851665,0.5409592499130169
GRAND FAR BRETON,21.0,66.0,70.0,72.0,145.0,112.0,347.0,429.0,141.0,54.0,20.0,9.0,124.02697729777988,121.58202395075898
