article,month,Quantity
12 MACARON,07,14.0
12 MACARON,08,47.0
12 MACARON,09,9.0
ARMORICAIN,07,3.0
ARTICLE 295,11,1.0
BAGUETTE,01,1358.0
BAGUETTE,02,1556.0
BAGUETTE,03,1657.0
BAGUETTE,04,1922.0
BAGUETTE,05,2179.0
BAGUETTE,06,2075.0
BAGUETTE,07,3337.0
BAGUETTE,08,3546.0
BAGUETTE,09,1861.0
BAGUETTE,10,983.0
BAGUETTE,11,824.0
BAGUETTE,12,755.0
BAGUETTE APERO,01,5.0
BAGUETTE APERO,02,8.0
BAGUETTE APERO,03,8.0
BAGUETTE APERO,04,7.0
BAGUETTE APERO,05,3.0
BAGUETTE APERO,06,6.0
BAGUETTE APERO,07,2.0
BAGUETTE APERO,08,3.0
BAGUETTE APERO,09,6.0
BAGUETTE APERO,10,2.0
BAGUETTE APERO,11,7.0
BAGUETTE APERO,12,5.0
BAGUETTE GRAINE,01,76.0
BAGUETTE GRAINE,02,77.0
BAGUETTE GRAINE,03,65.0
BAGUETTE GRAINE,04,101.0
BAGUETTE GRAINE,05,230.0
BAGUETTE GRAINE,06,95.0
BAGUETTE GRAINE,07,478.0
BAGUETTE GRAINE,08,490.0
BAGUETTE GRAINE,09,55.0
BAGUETTE GRAINE,10,46.0
BAGUETTE GRAINE,11,50.0
BAGUETTE GRAINE,12,99.0
BANETTE,01,1206.0
BANETTE,02,1411.0
BANETTE,03,1667.0
BANETTE,04,1987.0
BANETTE,05,2283.0
BANETTE,06,1940.0
BANETTE,07,3866.0
BANETTE,08,4100.0
BANETTE,09,1845.0
BANETTE,10,952.0
BANETTE,11,778.0
BANETTE,12,697.0
BANETTINE,01,215.0
BANETTINE,02,242.0
BANETTINE,03,277.0
BANETTINE,04,305.0
BANETTINE,05,296.0
BANETTINE,06,298.0
BANETTINE,07,384.0
BANETTINE,08,413.0
BANETTINE,09,283.0
BANETTINE,10,130.0
BANETTINE,11,127.0
BANETTINE,12,122.0
BOISSON 33CL,01,61.0
BOISSON 33CL,02,92.0
BOISSON 33CL,03,152.0
BOISSON 33CL,04,164.0
BOISSON 33CL,05,176.0
BOISSON 33CL,06,226.0
BOISSON 33CL,07,332.0
BOISSON 33CL,08,321.0
BOISSON 33CL,09,180.0
BOISSON 33CL,10,59.0
BOISSON 33CL,11,69.0
BOISSON 33CL,12,40.0
BOTTEREAU,02,373.0
BOTTEREAU,03,16.0
BOULE 200G,01,157.0
BOULE 200G,02,214.0
BOULE 200G,03,230.0
BOULE 200G,04,233.0
BOULE 200G,05,277.0
BOULE 200G,06,337.0
BOULE 200G,07,505.0
BOULE 200G,08,534.0
BOULE 200G,09,308.0
BOULE 200G,10,128.0
BOULE 200G,11,92.0
BOULE 200G,12,65.0
BOULE 400G,01,253.0
BOULE 400G,02,379.0
BOULE 400G,03,376.0
BOULE 400G,04,393.0
BOULE 400G,05,488.0
BOULE 400G,06,432.0
BOULE 400G,07,792.0
BOULE 400G,08,769.0
BOULE 400G,09,395.0
BOULE 400G,10,227.0
BOULE 400G,11,139.0
BOULE 400G,12,181.0
BOULE POLKA,01,31.0
BOULE POLKA,02,51.0
BOULE POLKA,03,46.0
BOULE POLKA,04,37.0
BOULE POLKA,05,43.0
BOULE POLKA,06,49.0
BOULE POLKA,07,84.0
BOULE POLKA,08,96.0
BOULE POLKA,09,45.0
BOULE POLKA,10,21.0
BOULE POLKA,11,14.0
BOULE POLKA,12,14.0
BRIOCHE,01,67.0
BRIOCHE,02,94.0
BRIOCHE,03,81.0
BRIOCHE,04,145.0
BRIOCHE,05,182.0
BRIOCHE,06,135.0
BRIOCHE,07,329.0
BRIOCHE,08,389.0
BRIOCHE,09,109.0
BRIOCHE,10,63.0
BRIOCHE,11,50.0
BRIOCHE,12,58.0
BRIOCHE DE NOEL,01,3.0
BRIOCHE DE NOEL,12,16.0
BRIOCHETTE,02,10.0
BRIOCHETTE,03,3.0
BRIOCHETTE,04,27.0
BRIOCHETTE,05,15.0
BRIOCHETTE,07,30.0
BRIOCHETTE,10,1.0
BROWNIES,02,3.0
BROWNIES,03,16.0
BROWNIES,04,10.0
BROWNIES,05,2.0
BROWNIES,06,1.0
BROWNIES,07,12.0
BROWNIES,10,1.0
BUCHE 4PERS,12,11.0
BUCHE 6PERS,12,8.0
BUCHE 8PERS,12,2.0
CAFE OU EAU,01,137.0
CAFE OU EAU,02,124.0
CAFE OU EAU,03,163.0
CAFE OU EAU,04,188.0
CAFE OU EAU,05,204.0
CAFE OU EAU,06,200.0
CAFE OU EAU,07,244.0
CAFE OU EAU,08,250.0
CAFE OU EAU,09,147.0
CAFE OU EAU,10,104.0
CAFE OU EAU,11,100.0
CAFE OU EAU,12,83.0
CAKE,06,1.0
CAMPAGNE,01,217.0
CAMPAGNE,02,291.0
CAMPAGNE,03,316.0
CAMPAGNE,04,395.0
CAMPAGNE,05,428.0
CAMPAGNE,06,358.0
CAMPAGNE,07,701.0
CAMPAGNE,08,794.0
CAMPAGNE,09,382.0
CAMPAGNE,10,175.0
CAMPAGNE,11,141.0
CAMPAGNE,12,158.0
CARAMEL NOIX,07,23.0
CARAMEL NOIX,08,56.0
CARAMEL NOIX,09,21.0
CEREAL BAGUETTE,01,395.0
CEREAL BAGUETTE,02,471.0
CEREAL BAGUETTE,03,469.0
CEREAL BAGUETTE,04,851.0
CEREAL BAGUETTE,05,730.0
CEREAL BAGUETTE,06,721.0
CEREAL BAGUETTE,07,1188.0
CEREAL BAGUETTE,08,1165.0
CEREAL BAGUETTE,09,622.0
CEREAL BAGUETTE,10,269.0
CEREAL BAGUETTE,11,254.0
CEREAL BAGUETTE,12,292.0
CHAUSSON AUX POMMES,01,81.0
CHAUSSON AUX POMMES,02,136.0
CHAUSSON AUX POMMES,03,138.0
CHAUSSON AUX POMMES,04,155.0
CHAUSSON AUX POMMES,05,202.0
CHAUSSON AUX POMMES,06,199.0
CHAUSSON AUX POMMES,07,267.0
CHAUSSON AUX POMMES,08,338.0
CHAUSSON AUX POMMES,09,168.0
CHAUSSON AUX POMMES,10,108.0
CHAUSSON AUX POMMES,11,75.0
CHAUSSON AUX POMMES,12,69.0
CHOCOLAT,01,3.0
CHOCOLAT,02,5.0
CHOCOLAT,03,3.0
CHOCOLAT,04,12.0
CHOCOLAT,05,5.0
CHOCOLAT,06,2.0
CHOCOLAT,07,12.0
CHOCOLAT,08,14.0
CHOCOLAT,09,13.0
CHOCOLAT,10,5.0
CHOCOLAT,11,3.0
CHOCOLAT,12,5.0
CHOU CHANTILLY,01,10.0
CHOU CHANTILLY,02,38.0
CHOU CHANTILLY,03,38.0
CHOU CHANTILLY,04,39.0
CHOU CHANTILLY,05,48.0
CHOU CHANTILLY,06,28.0
CHOU CHANTILLY,07,22.0
CHOU CHANTILLY,09,5.0
CHOU CHANTILLY,10,18.0
CHOU CHANTILLY,11,16.0
CHOU CHANTILLY,12,9.0
COMPLET,01,207.0
COMPLET,02,241.0
COMPLET,03,301.0
COMPLET,04,375.0
COMPLET,05,371.0
COMPLET,06,358.0
COMPLET,07,489.0
COMPLET,08,527.0
COMPLET,09,278.0
COMPLET,10,166.0
COMPLET,11,110.0
COMPLET,12,112.0
COOKIE,01,249.0
COOKIE,02,251.0
COOKIE,03,247.0
COOKIE,04,325.0
COOKIE,05,337.0
COOKIE,06,327.0
COOKIE,07,565.0
COOKIE,08,777.0
COOKIE,09,265.0
COOKIE,10,180.0
COOKIE,11,104.0
COOKIE,12,152.0
COUPE,01,1312.0
COUPE,02,1655.0
COUPE,03,1694.0
COUPE,04,2002.0
COUPE,05,2302.0
COUPE,06,2066.0
COUPE,07,3877.0
COUPE,08,3962.0
COUPE,09,1950.0
COUPE,10,966.0
COUPE,11,734.0
COUPE,12,985.0
CROISSANT,01,1489.0
CROISSANT,02,1756.0
CROISSANT,03,1891.0
CROISSANT,04,2443.0
CROISSANT,05,3083.0
CROISSANT,06,2675.0
CROISSANT,07,4972.0
CROISSANT,08,5921.0
CROISSANT,09,2352.0
CROISSANT,10,1217.0
CROISSANT,11,894.0
CROISSANT,12,961.0
CROISSANT AMANDES,01,119.0
CROISSANT AMANDES,02,137.0
CROISSANT AMANDES,03,190.0
CROISSANT AMANDES,04,219.0
CROISSANT AMANDES,05,256.0
CROISSANT AMANDES,06,246.0
CROISSANT AMANDES,07,333.0
CROISSANT AMANDES,08,375.0
CROISSANT AMANDES,09,214.0
CROISSANT AMANDES,10,87.0
CROISSANT AMANDES,11,87.0
CROISSANT AMANDES,12,82.0
CRUMBLE,02,1.0
CRUMBLE,05,4.0
CRUMBLE,07,4.0
CRUMBLECARAMEL OU PISTAE,07,3.0
DELICETROPICAL,07,17.0
DELICETROPICAL,08,42.0
DELICETROPICAL,09,2.0
DEMI BAGUETTE,01,89.0
DEMI BAGUETTE,02,94.0
DEMI BAGUETTE,03,111.0
DEMI BAGUETTE,04,82.0
DEMI BAGUETTE,05,90.0
DEMI BAGUETTE,06,108.0
DEMI BAGUETTE,07,144.0
DEMI BAGUETTE,08,184.0
DEMI BAGUETTE,09,141.0
DEMI BAGUETTE,10,48.0
DEMI BAGUETTE,11,34.0
DEMI BAGUETTE,12,20.0
DEMI PAIN,01,10.0
DEMI PAIN,02,18.0
DEMI PAIN,03,19.0
DEMI PAIN,04,21.0
DEMI PAIN,05,19.0
DEMI PAIN,06,25.0
DEMI PAIN,07,18.0
DEMI PAIN,08,16.0
DEMI PAIN,09,10.0
DEMI PAIN,10,1.0
DEMI PAIN,11,4.0
DEMI PAIN,12,2.0
DIVERS BOISSONS,04,1.0
DIVERS BOISSONS,05,5.0
DIVERS BOISSONS,06,15.0
DIVERS BOISSONS,07,20.0
DIVERS BOISSONS,08,23.0
DIVERS BOISSONS,09,15.0
DIVERS BOISSONS,10,7.0
DIVERS BOULANGERIE,01,10.0
DIVERS BOULANGERIE,02,18.0
DIVERS BOULANGERIE,03,23.0
DIVERS BOULANGERIE,04,31.0
DIVERS BOULANGERIE,05,18.0
DIVERS BOULANGERIE,06,27.0
DIVERS BOULANGERIE,07,35.0
DIVERS BOULANGERIE,08,17.0
DIVERS BOULANGERIE,09,20.0
DIVERS BOULANGERIE,10,4.0
DIVERS BOULANGERIE,11,1.0
DIVERS BOULANGERIE,12,115.0
DIVERS CONFISERIE,01,27.0
DIVERS CONFISERIE,02,23.0
DIVERS CONFISERIE,03,30.0
DIVERS CONFISERIE,04,102.0
DIVERS CONFISERIE,05,38.0
DIVERS CONFISERIE,06,40.0
DIVERS CONFISERIE,07,93.0
DIVERS CONFISERIE,08,80.0
