article,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02
BAGUETTE,81.0,165.0,168.0,160.0,167.0,145.0,164.0,190.0,275.0,245.0,198.0,179.0,194.0,266.0,215.0,209.0,239.0,213.0,233.0,384.0,134.0,263.0,274.0,226.0,244.0,253.0,207.0,291.0,433.0,419.0,390.0,459.0,499.0,413.0,449.0,291.0,309.0,248.0,213.0,190.0,223.0,169.0,227.0,264.0,221.0,231.0,163.0,160.0,152.0,105.0,157.0,200.0,245.0,100.0,133.0,159.0,153.0,165.0,170.0,221.0,220.0,197.0,175.0,159.0,175.0,167.0,179.0,246.0,264.0,225.0,183.0,199.0,235.0,314.0,288.0,264.0,241.0,205.0,260.0,265.0,525.0,378.0,418.0,386.0,410.0,394.0,300.0,205.0,175.0,207.0,141.0,140.0
BANETTE,75.0,156.0,143.0,133.0,142.0,128.0,144.0,164.0,245.0,231.0,204.0,180.0,187.0,251.0,213.0,235.0,248.0,256.0,260.0,332.0,160.0,287.0,246.0,227.0,250.0,224.0,246.0,330.0,502.0,518.0,556.0,533.0,572.0,479.0,394.0,293.0,269.0,243.0,233.0,157.0,212.0,143.0,206.0,321.0,276.0,199.0,138.0,135.0,116.0,87.0,135.0,216.0,240.0,110.0,114.0,125.0,118.0,145.0,164.0,209.0,216.0,222.0,167.0,185.0,177.0,145.0,157.0,235.0,323.0,221.0,180.0,178.0,207.0,433.0,242.0,218.0,230.0,202.0,261.0,326.0,566.0,423.0,404.0,496.0,531.0,471.0,337.0,234.0,205.0,176.0,167.0,142.0
BOULE 400G,22.0,32.0,26.0,32.0,34.0,27.0,46.0,44.0,68.0,59.0,57.0,39.0,37.0,53.0,37.0,55.0,47.0,44.0,59.0,79.0,17.0,51.0,45.0,51.0,48.0,53.0,46.0,69.0,112.0,95.0,95.0,91.0,96.0,70.0,86.0,66.0,49.0,51.0,51.0,38.0,49.0,50.0,41.0,66.0,45.0,41.0,21.0,22.0,28.0,16.0,24.0,92.0,43.0,32.0,22.0,15.0,23.0,34.0,37.0,53.0,65.0,54.0,43.0,28.0,37.0,28.0,23.0,58.0,60.0,50.0,50.0,39.0,51.0,87.0,65.0,55.0,49.0,51.0,49.0,85.0,128.0,75.0,92.0,93.0,132.0,90.0,63.0,40.0,40.0,49.0,37.0,27.0
CAMPAGNE,19.0,25.0,30.0,25.0,31.0,23.0,32.0,38.0,69.0,58.0,37.0,36.0,35.0,48.0,40.0,61.0,51.0,52.0,56.0,64.0,34.0,62.0,37.0,35.0,49.0,49.0,68.0,71.0,89.0,102.0,83.0,106.0,98.0,96.0,87.0,61.0,58.0,40.0,60.0,25.0,38.0,29.0,35.0,62.0,42.0,58.0,16.0,17.0,27.0,9.0,27.0,63.0,51.0,12.0,14.0,22.0,26.0,21.0,32.0,28.0,46.0,52.0,24.0,22.0,34.0,20.0,25.0,52.0,55.0,45.0,39.0,32.0,33.0,58.0,51.0,45.0,40.0,38.0,36.0,52.0,95.0,71.0,80.0,82.0,103.0,118.0,59.0,38.0,41.0,44.0,29.0,28.0
CEREAL BAGUETTE,35.0,47.0,47.0,35.0,50.0,43.0,35.0,72.0,118.0,101.0,51.0,48.0,60.0,90.0,122.0,133.0,136.0,81.0,100.0,124.0,38.0,77.0,89.0,99.0,118.0,137.0,91.0,119.0,182.0,165.0,157.0,160.0,170.0,145.0,133.0,126.0,78.0,115.0,89.0,67.0,38.0,44.0,53.0,106.0,104.0,61.0,32.0,45.0,41.0,30.0,48.0,107.0,94.0,36.0,37.0,43.0,42.0,36.0,54.0,60.0,53.0,61.0,39.0,36.0,46.0,43.0,48.0,73.0,113.0,100.0,79.0,66.0,58.0,104.0,81.0,56.0,66.0,57.0,47.0,93.0,138.0,144.0,122.0,133.0,137.0,113.0,100.0,49.0,52.0,45.0,46.0,35.0
COMPLET,16.0,22.0,18.0,23.0,24.0,19.0,22.0,28.0,58.0,49.0,32.0,32.0,37.0,45.0,44.0,41.0,44.0,44.0,53.0,64.0,15.0,38.0,41.0,45.0,41.0,55.0,49.0,54.0,53.0,53.0,52.0,55.0,58.0,64.0,61.0,55.0,41.0,31.0,29.0,22.0,36.0,38.0,35.0,43.0,35.0,31.0,19.0,19.0,23.0,13.0,25.0,33.0,30.0,25.0,24.0,23.0,23.0,17.0,27.0,34.0,36.0,40.0,27.0,21.0,34.0,34.0,29.0,47.0,49.0,50.0,35.0,38.0,41.0,49.0,41.0,36.0,40.0,33.0,41.0,46.0,65.0,63.0,64.0,62.0,69.0,64.0,51.0,40.0,32.0,34.0,24.0,20.0
CROISSANT,125.0,161.0,168.0,139.0,193.0,179.0,185.0,196.0,404.0,247.0,264.0,194.0,203.0,261.0,215.0,290.0,330.0,280.0,304.0,549.0,246.0,359.0,318.0,326.0,307.0,320.0,291.0,413.0,681.0,665.0,549.0,645.0,790.0,661.0,488.0,412.0,360.0,264.0,260.0,223.0,239.0,259.0,253.0,327.0,273.0,228.0,208.0,152.0,168.0,153.0,217.0,291.0,234.0,135.0,164.0,157.0,161.0,160.0,175.0,244.0,215.0,215.0,188.0,216.0,277.0,191.0,231.0,333.0,374.0,302.0,226.0,209.0,251.0,610.0,339.0,344.0,296.0,324.0,261.0,342.0,802.0,647.0,624.0,695.0,1023.0,783.0,474.0,274.0,312.0,254.0,223.0,136.0
ECLAIR,0.0,0.0,0.0,9.0,23.0,18.0,28.0,32.0,64.0,36.0,58.0,51.0,37.0,42.0,53.0,58.0,58.0,42.0,55.0,90.0,41.0,52.0,46.0,32.0,26.0,54.0,43.0,76.0,51.0,64.0,65.0,92.0,51.0,64.0,53.0,44.0,54.0,28.0,26.0,36.0,40.0,27.0,27.0,66.0,72.0,32.0,17.0,16.0,21.0,18.0,19.0,27.0,40.0,20.0,24.0,26.0,22.0,26.0,44.0,30.0,56.0,58.0,22.0,32.0,24.0,33.0,33.0,31.0,66.0,35.0,36.0,41.0,25.0,39.0,42.0,33.0,40.0,28.0,43.0,47.0,57.0,57.0,57.0,53.0,49.0,54.0,45.0,28.0,45.0,26.0,22.0,31.0
FINANCIER X5,1.0,0.0,0.0,8.0,7.0,2.0,8.0,9.0,13.0,13.0,8.0,16.0,5.0,17.0,10.0,19.0,11.0,19.0,15.0,22.0,13.0,19.0,14.0,19.0,15.0,13.0,13.0,24.0,18.0,25.0,22.0,29.0,39.0,33.0,26.0,21.0,15.0,14.0,8.0,6.0,12.0,4.0,8.0,23.0,19.0,11.0,7.0,4.0,11.0,2.0,11.0,21.0,15.0,11.0,5.0,7.0,8.0,13.0,15.0,12.0,11.0,14.0,7.0,14.0,21.0,11.0,8.0,10.0,29.0,6.0,15.0,17.0,10.0,32.0,8.0,11.0,14.0,16.0,19.0,16.0,17.0,12.0,11.0,28.0,22.0,25.0,14.0,11.0,9.0,12.0,5.0,0.0
FORMULE SANDWICH,0.0,33.0,34.0,25.0,40.0,37.0,19.0,38.0,44.0,48.0,41.0,61.0,39.0,68.0,39.0,56.0,59.0,66.0,79.0,61.0,31.0,69.0,112.0,105.0,84.0,83.0,78.0,71.0,77.0,72.0,62.0,64.0,74.0,65.0,69.0,53.0,70.0,62.0,51.0,55.0,62.0,67.0,58.0,51.0,53.0,34.0,41.0,37.0,43.0,18.0,37.0,28.0,25.0,20.0,29.0,34.0,45.0,39.0,38.0,47.0,39.0,75.0,62.0,63.0,80.0,54.0,76.0,60.0,49.0,82.0,72.0,56.0,75.0,73.0,72.0,60.0,83.0,58.0,80.0,65.0,81.0,58.0,84.0,86.0,81.0,43.0,82.0,58.0,49.0,50.0,35.0,40.0
