article,month-of-year,mean,std,V%
BAGUETTE,1,679.0,87.68124086713189,12.913290260255064
BAGUETTE,2,778.0,5.656854249492381,0.7271020886236993
BAGUETTE,3,828.5,88.38834764831844,10.668478895391484
BAGUETTE,4,961.0,38.18376618407357,3.973336751724617
BAGUETTE,5,1089.5,43.1335136523794,3.959019151205085
BAGUETTE,6,1037.5,2.1213203435596424,0.2044646114274354
BAGUETTE,7,1668.5,102.5304832720494,6.145069419961007
BAGUETTE,8,1773.0,272.94321753800733,15.39442851314198
BAGUETTE,9,930.5,215.667568261897,23.177600028145836
BAGUETTE,10,983.0,,
BAGUETTE,11,824.0,,
BAGUETTE,12,755.0,,
BANETTE,1,603.0,65.05382386916237,10.788362167356944
BANETTE,2,705.5,34.64823227814083,4.91115978428644
BANETTE,3,833.5,45.96194077712559,5.514330027249621
BANETTE,4,993.5,57.27564927611035,5.765037672482169
BANETTE,5,1141.5,54.44722215136416,4.76979607107877
BANETTE,6,970.0,16.97056274847714,1.7495425513893956
BANETTE,7,1933.0,91.92388155425118,4.755503443054899
BANETTE,8,2050.0,137.17871555019022,6.691644660984888
BANETTE,9,922.5,164.75588001646557,17.85971599094478
BANETTE,10,952.0,,
BANETTE,11,778.0,,
BANETTE,12,697.0,,
BANETTINE,1,107.5,7.7781745930520225,7.235511249350719
BANETTINE,2,121.0,1.4142135623730951,1.1687715391513183
BANETTINE,3,138.5,0.7071067811865476,0.5105464124090596
BANETTINE,4,152.5,4.949747468305833,3.2457360447907098
BANETTINE,5,148.0,9.899494936611665,6.688847930143018
BANETTINE,6,149.0,1.4142135623730951,0.9491366190423458
BANETTINE,7,192.0,48.08326112068523,25.043365167023556
BANETTINE,8,206.5,45.96194077712559,22.257598439286
BANETTINE,9,141.5,4.949747468305833,3.4980547479193165
BANETTINE,10,130.0,,
BANETTINE,11,127.0,,
BANETTINE,12,122.0,,
BOULE 200G,1,78.5,2.1213203435596424,2.702318908993175
BOULE 200G,2,107.0,14.142135623730951,13.216949181056965
BOULE 200G,3,115.0,15.556349186104045,13.527260161829604
BOULE 200G,4,116.5,13.435028842544403,11.53221359875056
BOULE 200G,5,138.5,3.5355339059327378,2.552732062045298
BOULE 200G,6,168.5,4.949747468305833,2.9375355894990105
BOULE 200G,7,252.5,61.518289963229634,24.36367919335827
BOULE 200G,8,267.0,52.32590180780452,19.597716032885586
BOULE 200G,9,154.0,28.284271247461902,18.366409900949286
BOULE 200G,10,128.0,,
BOULE 200G,11,92.0,,
BOULE 200G,12,65.0,,
BOULE 400G,1,126.5,27.577164466275352,21.80013001286589
BOULE 400G,2,189.5,6.363961030678928,3.358290781360912
BOULE 400G,3,188.0,25.45584412271571,13.540342618465804
BOULE 400G,4,196.5,10.606601717798213,5.397761688446928
BOULE 400G,5,244.0,16.97056274847714,6.955148667408663
BOULE 400G,6,216.0,15.556349186104045,7.202013512085206
BOULE 400G,7,396.0,15.556349186104045,3.9283710065919304
BOULE 400G,8,384.5,16.263455967290593,4.229767481740076
BOULE 400G,9,197.5,31.81980515339464,16.11129374855425
BOULE 400G,10,227.0,,
BOULE 400G,11,139.0,,
BOULE 400G,12,181.0,,
BOULE POLKA,1,15.5,6.363961030678928,41.05781310115437
BOULE POLKA,2,25.5,7.7781745930520225,30.502645462949108
BOULE POLKA,3,23.0,11.313708498984761,49.190036952107654
BOULE POLKA,4,18.5,0.7071067811865476,3.8221988172245815
BOULE POLKA,5,21.5,4.949747468305833,23.022081247934107
BOULE POLKA,6,24.5,2.1213203435596424,8.658450381876092
BOULE POLKA,7,42.0,1.4142135623730951,3.3671751485073695
