article,Tipo,XYZ,Clasificacion
FORMULE SANDWICH,A,Y,Probabilistico
CROISSANT,A,Y,Deterministico
PAIN AU CHOCOLAT,A,Y,Deterministico
BANETTE,A,Y,Deterministico
BAGUETTE,A,Y,Probabilistico
SANDWICH COMPLET,A,Y,Probabilistico
SPECIAL BREAD,A,Y,Deterministico
TARTELETTE,A,Y,Probabilistico
CEREAL BAGUETTE,A,Y,Probabilistico
CAMPAGNE,A,Y,Probabilistico
BOULE 400G,A,Y,Probabilistico
ECLAIR,A,Y,Probabilistico
MOISSON,A,Y,Probabilistico
SAND JB EMMENTAL,A,Y,Probabilistico
COMPLET,A,Y,Deterministico
PAIN BANETTE,A,Y,Probabilistico
FINANCIER X5,A,Y,Probabilistico
TRADITIONAL BAGUETTE,A,Z,-
TRAITEUR,A,Z,-
GRAND FAR BRETON,A,Z,-
VIK BREAD,A,Z,-
BRIOCHE,A,Z,-
GD KOUIGN AMANN,A,Z,-
KOUIGN AMANN,A,Z,-
DIVERS VIENNOISERIE,A,Z,-
PAIN AUX RAISINS,B,Y,Probabilistico
COOKIE,B,Y,Probabilistico
COUPE,B,Y,Deterministico
BOULE 200G,B,Y,Probabilistico
CROISSANT AMANDES,B,Y,Probabilistico
PAIN CHOCO AMANDES,B,Y,Probabilistico
PAIN,B,Y,Probabilistico
CHAUSSON AUX POMMES,B,Y,Probabilistico
PARIS BREST,B,Y,Probabilistico
SEIGLE,B,Y,Probabilistico
QUIM BREAD,B,Y,Probabilistico
SPECIAL BREAD KG,B,Y,Probabilistico
FLAN,B,Y,Probabilistico
BANETTINE,B,Y,Probabilistico
CAFE OU EAU,B,Y,Probabilistico
FLAN ABRICOT,B,Y,Probabilistico
TARTE FRUITS 6P,B,Z,-
TARTE FRUITS 4P,B,Z,-
DIVERS PATISSERIE,B,Z,-
BOISSON 33CL,B,Z,-
TARTELETTE FRAISE,B,Z,-
BAGUETTE GRAINE,B,Z,-
PT NANTAIS,B,Z,-
PLAT 7.60E,B,Z,-
TARTE FRAISE 6P,B,Z,-
MILLES FEUILLES,B,Z,-
FICELLE,B,Z,-
TARTE FRAISE 4PER,B,Z,-
SACHET VIENNOISERIE,B,Z,-
FRAISIER,B,Z,-
DIVERS CONFISERIE,B,Z,-
GAL FRANGIPANE 4P,B,Z,-
BOULE POLKA,C,Y,Probabilistico
DEMI BAGUETTE,C,Y,Deterministico
NANTAIS,C,Z,-
GAL FRANGIPANE 6P,C,Z,-
ROYAL 6P,C,Z,-
GD FAR BRETON,C,Z,-
PLAT 8.30E,C,Z,-
GD NANTAIS,C,Z,-
TROPEZIENNE,C,Z,-
ROYAL 4P,C,Z,-
SAVARIN,C,Z,-
ROYAL,C,Z,-
NOIX JAPONAISE,C,Z,-
DIVERS SANDWICHS,C,Z,-
DIVERS BOULANGERIE,C,Z,-
FONDANT CHOCOLAT,C,Z,-
GAL POMME 4P,C,Z,-
PLAT 7.00,C,Z,-
GAL POMME 6P,C,Z,-
12 MACARON,C,Z,-
GACHE,C,Z,-
CHOU CHANTILLY,C,Z,-
TARTE FINE,C,Z,-
MACARON,C,Z,-
PALET BRETON,C,Z,-
FRAMBOISIER,C,Z,-
ST HONORE,C,Z,-
SUCETTE,C,Z,-
RELIGIEUSE,C,Z,-
BAGUETTE APERO,C,Z,-
CARAMEL NOIX,C,Z,-
VIENNOISE,C,Z,-
PAIN S/SEL,C,Z,-
GRANDE SUCETTE,C,Z,-
SABLE F  P,C,Z,-
TRIANGLES,C,Z,-
DIVERS BOISSONS,C,Z,-
PAILLE,C,Z,-
BOTTEREAU,C,Z,-
SACHET DE CROUTON,C,Z,-
GAL POIRE CHOCO 4P,C,Z,-
DELICETROPICAL,C,Z,-
TARTELETTE CHOC,C,Z,-
ENTREMETS,C,Z,-
CHOCOLAT,C,Z,-
BROWNIES,C,Z,-
DEMI PAIN,C,Z,-
NID DE POULE,C,Z,-
PAIN DE MIE,C,Z,-
BRIOCHETTE,C,Z,-
TROPEZIENNE FRAMBOISE,C,Z,-
MERINGUE,C,Z,-
ECLAIR FRAISE PISTACHE,C,Z,-
