,Sal,Levadura,Mantequilla,Azúcar,Chocolate,Emmental,Pasas,Leche,Harina de trigo
2021-01-03,7015.0,3024.0,36230.0,3590.0,9300.0,900.0,0.0,6900.0,347100.0
2021-01-10,13934.0,6539.0,50670.0,5740.0,12700.0,600.0,0.0,11870.0,691350.0
2021-01-17,12939.0,5977.0,52590.0,5750.0,13600.0,1200.0,0.0,11700.0,644350.0
2021-01-24,12478.0,5856.0,47570.0,7780.0,10750.0,1100.0,0.0,13500.0,620150.0
2021-01-31,12968.0,5849.0,64240.0,9360.0,16550.0,700.0,0.0,16660.0,644250.0
2021-02-07,13486.0,6131.0,61930.0,9720.0,16200.0,900.0,0.0,16530.0,672350.0
2021-02-14,13975.0,6288.0,69140.0,10960.0,18900.0,200.0,0.0,18220.0,691700.0
2021-02-21,17307.0,8017.0,68460.0,11030.0,17400.0,300.0,0.0,18960.0,858550.0
2021-02-28,29965.0,13350.0,141220.0,20040.0,39200.0,2100.0,0.0,34490.0,1489350.0
2021-03-07,25517.0,11724.0,97750.0,14830.0,28100.0,1500.0,0.0,27050.0,1270500.0
2021-03-14,20378.0,9118.0,97780.0,16140.0,27300.0,1400.0,0.0,26100.0,1013450.0
2021-03-21,18354.0,8456.0,79180.0,12980.0,22550.0,900.0,0.0,23020.0,915750.0
2021-03-28,17828.0,8234.0,69520.0,11910.0,16550.0,2100.0,0.0,19610.0,889500.0
2021-04-04,24245.0,11203.0,93360.0,14160.0,25000.0,1300.0,0.0,26130.0,1206600.0
2021-04-11,21995.0,10266.0,80420.0,13370.0,20950.0,1100.0,0.0,22970.0,1092500.0
2021-04-18,25204.0,11561.0,105050.0,16700.0,27700.0,1000.0,0.0,28860.0,1254000.0
2021-04-25,27380.0,12459.0,115340.0,16850.0,31300.0,2200.0,0.0,29350.0,1365150.0
2021-05-02,23379.0,10664.0,96370.0,14920.0,24700.0,1600.0,0.0,26730.0,1167550.0
2021-05-09,26185.0,12052.0,109980.0,19300.0,27650.0,1400.0,0.0,32750.0,1305500.0
2021-05-16,41223.0,18301.0,195880.0,28070.0,56300.0,1900.0,0.0,47680.0,2050250.0
2021-05-23,15060.0,6582.0,77430.0,11500.0,20050.0,900.0,0.0,18660.0,751750.0
2021-05-30,27818.0,12587.0,123620.0,18170.0,33300.0,2100.0,0.0,31980.0,1386550.0
2021-06-06,23753.0,10871.0,105650.0,16560.0,26700.0,4000.0,0.0,30190.0,1189600.0
2021-06-13,23931.0,10772.0,119230.0,15940.0,34300.0,2400.0,0.0,31300.0,1197350.0
2021-06-20,23810.0,10865.0,103080.0,14670.0,26700.0,2400.0,0.0,27160.0,1191050.0
2021-06-27,25505.0,11691.0,105910.0,16900.0,26300.0,1800.0,0.0,29550.0,1270950.0
2021-07-04,25129.0,11577.0,103970.0,15810.0,27350.0,1600.0,0.0,28770.0,1253950.0
2021-07-11,33432.0,15279.0,138640.0,21990.0,34700.0,2700.0,0.0,37260.0,1663650.0
2021-07-18,46762.0,20944.0,209830.0,26660.0,54350.0,3400.0,0.0,47070.0,2324300.0
2021-07-25,45507.0,20344.0,211540.0,29810.0,53800.0,4200.0,0.0,49890.0,2267050.0
2021-08-01,45865.0,20941.0,178330.0,24600.0,46850.0,2400.0,0.0,42340.0,2279400.0
2021-08-08,50692.0,22812.0,221380.0,29760.0,62500.0,2400.0,0.0,51470.0,2519100.0
2021-08-15,57666.0,25540.0,258790.0,32000.0,72150.0,4700.0,0.0,56390.0,2881200.0
2021-08-22,50575.0,22533.0,220040.0,28550.0,61500.0,3700.0,0.0,50350.0,2522650.0
2021-08-29,40682.0,18542.0,159660.0,23620.0,39950.0,4800.0,0.0,40500.0,2029800.0
2021-09-05,28626.0,12711.0,133820.0,20550.0,32900.0,3100.0,0.0,34190.0,1431000.0
2021-09-12,25979.0,11907.0,113760.0,18270.0,25700.0,2800.0,0.0,30480.0,1296450.0
2021-09-19,21550.0,9840.0,89620.0,13750.0,22700.0,2600.0,0.0,23800.0,1078950.0
2021-09-26,20364.0,9204.0,88020.0,12600.0,23400.0,2600.0,0.0,21880.0,1018550.0
2021-10-03,17181.0,7689.0,78650.0,11570.0,22400.0,2500.0,0.0,20080.0,860600.0
2021-10-10,19855.0,8990.0,90150.0,14230.0,25000.0,2000.0,0.0,24780.0,993300.0
2021-10-17,16591.0,7391.0,80350.0,11530.0,20350.0,2000.0,0.0,20680.0,827900.0
2021-10-24,20310.0,9196.0,83430.0,12600.0,21750.0,1900.0,0.0,22230.0,1015000.0
2021-10-31,29071.0,13164.0,123450.0,18580.0,35600.0,1500.0,0.0,32300.0,1446050.0
2021-11-07,26127.0,11886.0,107410.0,17480.0,31600.0,1300.0,0.0,29740.0,1301100.0
2021-11-14,18605.0,8357.0,84340.0,12360.0,23800.0,1200.0,0.0,21170.0,928750.0
2021-11-21,12890.0,5799.0,60140.0,9180.0,13250.0,700.0,0.0,15410.0,643850.0
2021-11-28,12501.0,5716.0,55210.0,8650.0,14900.0,800.0,0.0,14940.0,624600.0
2021-12-05,12288.0,5550.0,61210.0,9210.0,16850.0,800.0,0.0,16800.0,611550.0
2021-12-12,8578.0,3701.0,49930.0,6680.0,13700.0,400.0,0.0,11410.0,426800.0
2021-12-19,14005.0,6230.0,73450.0,10610.0,18850.0,1500.0,0.0,18570.0,700300.0
2021-12-26,24592.0,11255.0,103760.0,13870.0,28250.0,800.0,0.0,25230.0,1215900.0
2022-01-02,23002.0,10680.0,87150.0,11970.0,24500.0,500.0,0.0,21580.0,1139650.0
2022-01-09,11115.0,5062.0,48340.0,7160.0,12500.0,700.0,0.0,13020.0,551850.0
2022-01-16,11404.0,5110.0,55180.0,7980.0,14300.0,1900.0,0.0,13890.0,569700.0
2022-01-23,12476.0,5749.0,55810.0,8810.0,14000.0,1800.0,0.0,14960.0,623950.0
2022-01-30,12468.0,5694.0,60710.0,8930.0,16900.0,800.0,0.0,16660.0,621250.0
2022-02-06,12701.0,5837.0,52430.0,9340.0,11900.0,1400.0,0.0,15310.0,634450.0
2022-02-13,15158.0,6916.0,67470.0,11790.0,17900.0,2600.0,0.0,19800.0,756150.0
2022-02-20,20608.0,9344.0,92680.0,13680.0,26600.0,1400.0,0.0,24440.0,1025400.0
