ds,HW_A,HW_A-lo-90,HW_A-hi-90,HW_M,HW_M-lo-90,HW_M-hi-90
2022-04-01,4914.577259581711,1897.1033832473381,7932.051135916083,5880.70227637051,-6849.681518083067,18611.086070824087
2022-04-02,1908.5237753068022,-1108.9510737044661,4925.99862431807,2083.583963584984,-10646.799830907687,14813.967758077655
2022-04-03,1827.7229167203257,-1189.7533162517045,4845.199149692356,1986.7566138213015,-10743.627180875043,14717.140408517644
2022-04-04,1976.5681569607248,-1040.9099435883525,4994.046257509802,2183.0620060475594,-10547.32178896435,14913.445801059468
2022-04-05,2295.4146010767467,-722.06592299769,5312.8951251511835,2597.8429165083658,-10132.540878593141,15328.226711609872
2022-04-06,4498.1339775624165,1480.650401682794,7515.617553442039,5426.266469023578,-7304.117326270103,18156.650264317257
2022-04-07,5240.729679653556,2223.242351358065,8258.217007949046,6390.841787645101,-6339.542008065796,19121.225583355998
2022-04-08,2002.8060460059069,-1014.685807646174,5020.297899657988,2242.791474535352,-10487.592321321825,14973.175270392529
2022-04-09,2451.698678164196,-565.7985461142466,5469.195902442638,2829.5592472367816,-9900.824548863413,15559.943043336978
2022-04-10,1212.4848786008986,-1805.018633901538,4229.988391103335,1230.3548464065905,-11500.028950321168,13960.738643134348
2022-04-11,2139.9373875945125,-877.5734030560134,5157.448178245038,2440.5843286756017,-10289.799468309702,15170.968125660904
2022-04-12,2478.9273614346375,-538.5917696129113,5496.446492482186,2888.7851068578125,-9841.598690814111,15619.168904529737
2022-04-13,4261.67090924494,1244.1423032284697,7279.199515261411,5217.298247419301,-7513.085552322986,17947.682047161587
2022-04-14,1707.7800181766697,-1309.7592697014502,4725.319306054789,1895.7201126770594,-10834.663687546525,14626.103912900644
2022-04-15,1646.980523323841,-1370.5707256270705,4664.531772274752,1821.5399706029323,-10908.84383022931,14551.923771435177
2022-04-16,1805.7201576605617,-1211.844403889983,4823.284719211106,2035.9656872963933,-10694.418114847384,14766.34948944017
2022-04-17,1764.8742171121196,-1252.7050808775705,4782.45351510181,1988.051955817352,-10742.331846925581,14718.435758560287
2022-04-18,2223.4071907652547,-794.1883398124019,5241.002721342911,2599.717904297527,-10130.665899264886,15330.101707859942
2022-04-19,4295.851617684744,1278.2382860647022,7313.464949304786,5343.770328231559,-7386.613479906392,18074.15413636951
2022-04-20,1382.828272073549,-1634.804501344817,4400.461045491915,1498.1265488697718,-11232.257259964179,14228.510357703723
2022-04-21,1880.9601572501638,-1136.693771019522,4898.61408551985,2166.0003915983975,-10564.383418347465,14896.38420154426
2022-04-22,1700.3615504731347,-1317.3153179930578,4718.038418939327,1931.2435379004128,-10799.14027361996,14661.627349420785
2022-04-23,2238.7608907441563,-778.94077555064,5256.462557038953,2656.546926084804,-10073.836890248345,15386.930742417953
2022-04-24,2958.6367296142835,-59.09166442240303,5976.36512365097,3625.987921224012,-9104.395896235468,16356.371738683492
2022-04-25,5505.59974506671,2487.842621099829,8523.35686903359,7040.545322034177,-5689.838496678327,19770.92914074668
2022-04-26,2656.0263960543625,-361.7615322993911,5673.814324408117,3239.3007394727238,-9491.083084047084,15969.684562992534
2022-04-27,2075.1394761143965,-942.6814033441515,5092.9603555729445,2465.300493288331,-10265.08333158404,15195.6843181607
2022-04-28,1894.4417443394184,-1123.4143051954513,4912.297793874288,2227.8430323634066,-10502.540794475557,14958.226859202368
2022-04-29,1534.157827193346,-1483.735683634822,4552.051338021514,1745.69981094452,-10984.684020897424,14476.083642786463
2022-04-30,2652.3078159053116,-365.6255196698821,5670.241151480505,3268.687932173746,-9461.695909689428,15999.071774036918
2022-05-01,4023.697923631312,1005.7223276278669,7041.673519634756,5138.331795707287,-7592.052048488686,17868.71563990326
2022-05-02,1611.21948944475,-1406.80087488584,4629.23985377534,1866.4751706842767,-10863.908686097933,14596.859027466486
2022-05-03,2029.5960526235185,-988.4716601403597,5047.663765387397,2444.1247934898697,-10286.25909339981,15174.50868037955
2022-05-04,1759.0849843751485,-1259.0327291243875,4777.202697874684,2080.0799722486354,-10650.303918767006,14810.463863264276
2022-05-05,1788.099147202348,-1230.0712915197869,4806.269585924483,2125.845300214486,-10604.538615536861,14856.229215965832
2022-05-06,2376.643904612179,-641.5820559917752,5394.869865216133,2941.5394364001886,-9788.844481806493,15671.923354606872
2022-05-07,2946.553720327604,-71.7306309767182,5964.838071631926,3733.2629131747526,-8997.121007172693,16463.646833522198
2022-05-08,5865.587744672559,2847.2420617036228,8883.933427641496,7759.101563677014,-4971.282367437562,20489.485494791592
2022-05-09,1524.8701624263565,-1493.5398653028167,4543.280190155529,1784.917437402936,-10945.466495522862,14515.301370328732
2022-05-10,2053.043257413191,-965.4342002881895,5071.520715114571,2523.7747326226836,-10206.609202482263,15254.15866772763
2022-05-11,1742.602733777233,-1275.9453112089109,4761.150778763376,2098.4779702660358,-10631.90597401708,14828.861914549152
